waya	w a y a
akabi	a k a b i
gateekebwawo	g a t e e k e b w a w o
tebajjumbira	t e b a j j u m b i r a
okyalina	o k y a l i n a
emirimu	e m i r i m u
kugenda	k u g e n d a
bansobera	b a n s o b e r a
kukulaakulanya	k u k u l a a k u l a n y a
puloogulaamu	p u l o o g u l a a m u
emyaka	e m y a k a
baasabibwa	b a a s a b i b w a
gayina	g a y i n a
ssenyiga	s s e n y i g a
abangi	a b a n g i
okuwona	o k u w o n a
endala	e n d a l a
mulyango	m u l y a n g o
ogwokubiri	o g w o k u b i r i
baagaanira	b a a g a a n i r a
ebirimu	e b i r i m u
enjuki	e n j u k i
ye	y e
empale	e m p a l e
enzimba	e n z i m b a
okubalirira	o k u b a l i r i r a
wo	w o
okunoonyereza	o k u n o o n y e r e z a
ziweze	z i w e z e
biseera	b i s e e r a
ennyo	e n n y o
ekikadde	e k i k a d d e
lye	l y e
kutambula	k u t a m b u l a
mwe	m w e
omuwendo	o m u w e n d o
okugikozesa	o k u g i k o z e s a
bibala	b i b a l a
masomero	m a s o m e r o
wankoko	w a n k o k o
omupiira	o m u p i i r a
obuwanguzi	o b u w a n g u z i
gomesi	g o m e s i
okufa	o k u f a
kituufu	k i t u u f u
abalirira	a b a l i r i r a
kasoobo	k a s o o b o
yetaaga	y e t a a g a
baalaze	b a a l a z e
ennyiriri	e n n y i r i r i
ababeera	a b a b e e r a
bayina	b a y i n a
obukadde	o b u k a d d e
tekinologiya	t e k i n o l o g i y a
eza	e z a
agenda	a g e n d a
siringi	s i r i n g i
nno	n n o
wakamunye	w a k a m u n y e
bwalemererwa	b w a l e m e r e r w a
zebyobufuzi	z e b y o b u f u z i
ekiviirako	e k i v i i r a k o
okusazaamu	o k u s a z a a m u
tosobola	t o s o b o l a
tuli	t u l i
kawempe	k a w e m p e
zokusasula	z o k u s a s u l a
yalemererwa	y a l e m e r e r w a
yafunye	y a f u n y e
okweyimirirwa	o k w e y i m i r i r w a
baafuna	b a a f u n a
teyalina	t e y a l i n a
kuyamba	k u y a m b a
nabasajja	n a b a s a j j a
emboozi	e m b o o z i
gennyumba	g e n n y u m b a
ekiragira	e k i r a g i r a
kukusasula	k u k u s a s u l a
agaffe	a g a f f e
lyebiyiiye	l y e b i y i i y e
bajeemedde	b a j e e m e d d e
envuba	e n v u b a
olusuku	o l u s u k u
etya	e t y a
obulungi	o b u l u n g i
teyozebwa	t e y o z e b w a
eyongere	e y o n g e r e
okwambala	o k w a m b a l a
mukwano	m u k w a n o
ekiwugirwamu	e k i w u g i r w a m u
alyoke	a l y o k e
mpaka	m p a k a
basawo	b a s a w o
omwanawo	o m w a n a w o
maao	m a a o
obutonde	o b u t o n d e
ssaababalirizi	s s a a b a b a l i r i z i
byobugagga	b y o b u g a g g a
ebeera	e b e e r a
nkola	n k o l a
abayiiya	a b a y i i y a
abazadde	a b a z a d d e
nsomesa	n s o m e s a
ayanise	a y a n i s e
okukkiriziganya	o k u k k i r i z i g a n y a
unity	u n i t y
bwamala	b w a m a l a
ngalo	n g a l o
bandekeddewo	b a n d e k e d d e w o
okwera	o k w e r a
ngogyeeko	n g o g y e e k o
bwolaba	b w o l a b a
luvaamu	l u v a a m u
gyetukoma	g y e t u k o m a
obubaka	o b u b a k a
olwakola	o l w a k o l a
kyomuzannyo	k y o m u z a n n y o
abatuuze	a b a t u u z e
bwagambako	b w a g a m b a k o
omusango	o m u s a n g o
yakyukira	y a k y u k i r a
emmere	e m m e r e
bwabanoonyiboobubudamu	b w a b a n o o n y i b o o b u b u d a m u
new	n e w
wasomera	w a s o m e r a
gavumenti	g a v u m e n t i
omuzeeyi	o m u z e e y i
weesanga	w e e s a n g a
bwange	b w a n g e
kirala	k i r a l a
muwogo	m u w o g o
obwegugungo	o b w e g u g u n g o
buganda	b u g a n d a
omuyita	o m u y i t a
obuzireetera	o b u z i r e e t e r a
olulimi	o l u l i m i
okusooka	o k u s o o k a
bakawuka	b a k a w u k a
yansanyusa	y a n s a n y u s a
ebivaamu	e b i v a a m u
zonna	z o n n a
akaddiwa	a k a d d i w a
keeraliikiriza	k e e r a l i i k i r i z a
tebakwatibwa	t e b a k w a t i b w a
egaanye	e g a a n y e
ebirango	e b i r a n g o
ebiragiro	e b i r a g i r o
lwomwana	l w o m w a n a
ggwe	g g w e
baasisinkana	b a a s i s i n k a n a
ky’enva	k y ’ e n v a
obwongo	o b w o n g o
babazza	b a b a z z a
mu	m u
okubirizibwa	o k u b i r i z i b w a
yawaayo	y a w a a y o
kata	k a t a
yaabwe	y a a b w e
z’okusomesa	z ’ o k u s o m e s a
mubiri	m u b i r i
lwa	l w a
akizudde	a k i z u d d e
akalaga	a k a l a g a
abakulu	a b a k u l u
kitangaala	k i t a n g a a l a
kano	k a n o
atulangidde	a t u l a n g i d d e
omukambwe	o m u k a m b w e
kwe	k w e
gye	g y e
amangiempeereza	a m a n g i e m p e e r e z a
kwagala	k w a g a l a
obuto	o b u t o
bwerinde	b w e r i n d e
n’agatalina	n ’ a g a t a l i n a
naawe	n a a w e
amateeka	a m a t e e k a
okukozesa	o k u k o z e s a
ly’omuzannyo	l y ’ o m u z a n n y o
okuzuula	o k u z u u l a
ennyange	e n n y a n g e
bina	b i n a
nti	n t i
muntu	m u n t u
kya	k y a
obwavu	o b w a v u
faayo	f a a y o
neminyolo	n e m i n y o l o
bodaboda	b o d a b o d a
eddoboozi	e d d o b o o z i
kikula	k i k u l a
okugemebwa	o k u g e m e b w a
b”ekibiina	b ” e k i b i i n a
akadde	a k a d d e
omwana	o m w a n a
byayogera	b y a y o g e r a
empapula	e m p a p u l a
kyasobola	k y a s o b o l a
ennyo	e n n y o
ennusu	e n n u s u
ekisooka	e k i s o o k a
woludda	w o l u d d a
gw’ekika	g w ’ e k i k a
embi	e m b i
okusaasaana	o k u s a a s a a n a
omutwe	o m u t w e
ekivuganya	e k i v u g a n y a
ge	g e
yekka	y e k k a
ekitundu	e k i t u n d u
ggulu	g g u l u
ganyirira	g a n y i r i r a
ekisoboka	e k i s o b o k a
liyise	l i y i s e
eddagala	e d d a g a l a
ekkanisa	e k k a n i s a
wekinnansi	w e k i n n a n s i
kironde	k i r o n d e
y’asooka	y ’ a s o o k a
obudde	o b u d d e
mulambo	m u l a m b o
omuwaabi	o m u w a a b i
gwazo	g w a z o
omuduumizi	o m u d u u m i z i
okusoma	o k u s o m a
ebbula	e b b u l a
gwokuvuga	g w o k u v u g a
yatulagira	y a t u l a g i r a
obukuumi	o b u k u u m i
erigenda	e r i g e n d a
okugamba	o k u g a m b a
abassajja	a b a s s a j j a
saba	s a b a
bobubudamu	b o b u b u d a m u
waabwe	w a a b w e
baavaayo	b a a v a a y o
neragira	n e r a g i r a
gwagwe	g w a g w e
amatono	a m a t o n o
omukono	o m u k o n o
agira	a g i r a
abafa	a b a f a
emmere	e m m e r e
okuyimirizaawo	o k u y i m i r i z a a w o
baggala	b a g g a l a
lyatwaliddwa	l y a t w a l i d d w a
mazzi	m a z z i
yolungereza	y o l u n g e r e z a
mulalama	m u l a l a m a
tugenze	t u g e n z e
kuteekebwa	k u t e e k e b w a
obulwadde	o b u l w a d d e
takwagala	t a k w a g a l a
ebisale	e b i s a l e
nnya	n n y a
kit	k i t
ekiddugavu	e k i d d u g a v u
gyetaagisa	g y e t a a g i s a
okwekulaakulanya	o k w e k u l a a k u l a n y a
okimanyi	o k i m a n y i
ateekewo	a t e e k e w o
obuli	o b u l i
kaliisoliiso	k a l i i s o l i i s o
nnaleese	n n a l e e s e
n’amuwa	n ’ a m u w a
amakungula	a m a k u n g u l a
ssomero	s s o m e r o
ofunye	o f u n y e
enzigi	e n z i g i
bui	b u i
nakasi	n a k a s i
kulya	k u l y a
tebitera	t e b i t e r a
bobubuddamu	b o b u b u d d a m u
ze	z e
wansi	w a n s i
amadaala	a m a d a a l a
bbaawe	b b a a w e
siwummula	s i w u m m u l a
empologoma	e m p o l o g o m a
matendekero	m a t e n d e k e r o
nja	n j a
gwensiri	g w e n s i r i
byabwe	b y a b w e
essomero	e s s o m e r o
ngoli	n g o l i
tekirina	t e k i r i n a
platform	p l a t f o r m
kuliko	k u l i k o
embwa	e m b w a
nabanoonyi	n a b a n o o n y i
okujulira	o k u j u l i r a
embi	e m b i
ziriko	z i r i k o
omwezi	o m w e z i
zaabwe	z a a b w e
okutali	o k u t a l i
omubisi	o m u b i s i
nakoma	n a k o m a
mavuunya	m a v u u n y a
londako	l o n d a k o
likwata	l i k w a t a
tuba	t u b a
obulabe	o b u l a b e
goofu	g o o f u
pulojekiti	p u l o j e k i t i
alemeddwa	a l e m e d d w a
ekkubo	e k k u b o
simulaba	s i m u l a b a
etwala	e t w a l a
balungi	b a l u n g i
gava	g a v a
bakubiddwa	b a k u b i d d w a
kyetaaga	k y e t a a g a
musooke	m u s o o k e
yabika	y a b i k a
bali	b a l i
babakozesebwa	b a b a k o z e s e b w a
agenjawulo	a g e n j a w u l o
okusamba	o k u s a m b a
abawere	a b a w e r e
ebizimbe	e b i z i m b e
ebyobusuubuzi	e b y o b u s u u b u z i
nakwo	n a k w o
owamaanyi	o w a m a a n y i
disitulikiti	d i s i t u l i k i t i
ggwanga	g g w a n g a
abazuuliddwamu	a b a z u u l i d d w a m u
eggwanga	e g g w a n g a
obukugu	o b u k u g u
n’asukka	n ’ a s u k k a
nabwo	n a b w o
kasirye	k a s i r y e
ekibadde	e k i b a d d e
balowooza	b a l o w o o z a
buwambe	b u w a m b e
ssimu	s s i m u
okufulumya	o k u f u l u m y a
ebyomukyalo	e b y o m u k y a l o
eya	e y a
enkulaakulana	e n k u l a a k u l a n a
gyozikoledde	g y o z i k o l e d d e
eno	e n o
bazitereka	b a z i t e r e k a
bakusobera	b a k u s o b e r a
yategeka	y a t e g e k a
omunaanaansi	o m u n a a n a a n s i
kyatuukako	k y a t u u k a k o
eminene	e m i n e n e
nnyo	n n y o
katale	k a t a l e
singa	s i n g a
balina	b a l i n a
nteekateeka	n t e e k a t e e k a
omu	o m u
ttano	t t a n o
ataddemu	a t a d d e m u
nabalala	n a b a l a l a
bamukebera	b a m u k e b e r a
obuyambi	o b u y a m b i
simuyamba	s i m u y a m b a
amawooteeri	a m a w o o t e e r i
okwakol	o k w a k o l
guluddewo	g u l u d d e w o
akozesa	a k o z e s a
okukuwoomera	o k u k u w o o m e r a
ggwe	g g w e
mmeka	m m e k a
katyabaga	k a t y a b a g a
bbayibuli	b b a y i b u l i
basaba	b a s a b a
tulya	t u l y a
twakyalira	t w a k y a l i r a
azaalibwa	a z a a l i b w a
kibadde	k i b a d d e
ebivuganya	e b i v u g a n y a
byomubiri	b y o m u b i r i
abiri	a b i r i
ca	c a
eteekeddwa	e t e e k e d d w a
egiwulirwa	e g i w u l i r w a
kwa	k w a
okumalawo	o k u m a l a w o
eziggyayo	e z i g g y a y o
okutwala	o k u t w a l a
mwaka	m w a k a
abaaleeta	a b a a l e e t a
egisinga	e g i s i n g a
ekikajjo	e k i k a j j o
engoye	e n g o y e
goofu	g o o f u
baazibbye	b a a z i b b y e
yakulira	y a k u l i r a
mpale	m p a l e
bitundu	b i t u n d u
bannange	b a n n a n g e
obuka	o b u k a
omuwala	o m u w a l a
okutangira	o k u t a n g i r a
nnina	n n i n a
eyakoze	e y a k o z e
ebinyonyi	e b i n y o n y i
bulamu	b u l a m u
eyatusibwako	e y a t u s i b w a k o
obwedda	o b w e d d a
agamu	a g a m u
zirina	z i r i n a
beekalakaasizza	b e e k a l a k a a s i z z a
kidiba	k i d i b a
batabukidde	b a t a b u k i d d e
mukyala	m u k y a l a
nkoko	n k o k o
likaawa	l i k a a w a
kwakawuka	k w a k a w u k a
ebitooke	e b i t o o k e
ekyebitaano	e k y e b i t a a n o
enkungaana	e n k u n g a a n a
byobutonde	b y o b u t o n d e
nkambi	n k a m b i
ekisigaddeyo	e k i s i g a d d e y o
waggyeeko	w a g g y e e k o
kiwambabantu	k i w a m b a b a n t u
zamasomero	z a m a s o m e r o
kwatandika	k w a t a n d i k a
bannayuganda	b a n n a y u g a n d a
ogujja	o g u j j a
womwana	w o m w a n a
alinze	a l i n z e
ebyobulamu	e b y o b u l a m u
bamakanika	b a m a k a n i k a
okwetegereza	o k w e t e g e r e z a
akola	a k o l a
gwange	g w a n g e
ngakaaba	n g a k a a b a
nagalulira	n a g a l u l i r a
obuwumbi	o b u w u m b i
bwali	b w a l i
nnanyini	n n a n y i n i
nabambejja	n a b a m b e j j a
asiwa	a s i w a
obupande	o b u p a n d e
ntaddeko	n t a d d e k o
lwange	l w a n g e
okuba	o k u b a
abayita	a b a y i t a
okwewalibwa	o k w e w a l i b w a
etya	e t y a
kyonna	k y o n n a
erabika	e r a b i k a
ssekinnoomu	s s e k i n n o o m u
okuzaala	o k u z a a l a
omukambwe	o m u k a m b w e
eyavaako	e y a v a a k o
eddaabiriza	e d d a a b i r i z a
twasembayo	t w a s e m b a y o
kye	k y e
mwogenda	m w o g e n d a
bamukyawa	b a m u k y a w a
koboko	k o b o k o
amawulire	a m a w u l i r e
kuzannya	k u z a n n y a
nengoye	n e n g o y e
yitira	y i t i r a
omukago	o m u k a g o
enkolagana	e n k o l a g a n a
ntensibe	n t e n s i b e
kutumbula	k u t u m b u l a
ensonga	e n s o n g a
ezebikyupuli	e z e b i k y u p u l i
baategeezezza	b a a t e g e e z e z z a
basasulwa	b a s a s u l w a
emmere	e m m e r e
abakola	a b a k o l a
eziri	e z i r i
ebyobutujju	e b y o b u t u j j u
katonda	k a t o n d a
bumu	b u m u
wekyalo	w e k y a l o
yakola	y a k o l a
ebyemizannyo	e b y e m i z a n n y o
ofunamu	o f u n a m u
asuubirwa	a s u u b i r w a
ayinza	a y i n z a
emiti	e m i t i
kutendekebwa	k u t e n d e k e b w a
kufumbirwa	k u f u m b i r w a
ddala	d d a l a
mulekwa	m u l e k w a
wakoze	w a k o z e
bibalirirwa	b i b a l i r i r w a
nasalawo	n a s a l a w o
ennyindo	e n n y i n d o
kukozeseza	k u k o z e s e z a
obutonde	o b u t o n d e
ensangi	e n s a n g i
kyalo	k y a l o
bya	b y a
yasaba	y a s a b a
byuma	b y u m a
okuyimirizaawo	o k u y i m i r i z a a w o
gwabwe	g w a b w e
nnazireka	n n a z i r e k a
agalina	a g a l i n a
boogera	b o o g e r a
byenfuna	b y e n f u n a
nnyingi	n n y i n g i
okumulya	o k u m u l y a
enkaayana	e n k a a y a n a
zamawulire	z a m a w u l i r e
awalonderwa	a w a l o n d e r w a
okugabira	o k u g a b i r a
olubuto	o l u b u t o
embalirira	e m b a l i r i r a
gasiima	g a s i i m a
lyani	l y a n i
luba	l u b a
abasomesa	a b a s o m e s a
omwami	o m w a m i
tebabadde	t e b a b a d d e
emukyusa	e m u k y u s a
bakulembera	b a k u l e m b e r a
ana	a n a
kikozesebwa	k i k o z e s e b w a
emenyese	e m e n y e s e
ebisago	e b i s a g o
gy’akolokota	g y ’ a k o l o k o t a
baakwatibwa	b a a k w a t i b w a
bakulembeze	b a k u l e m b e z e
ekyokubagaana	e k y o k u b a g a a n a
kabonera	k a b o n e r a
kwennima	k w e n n i m a
kitongole	k i t o n g o l e
wabakadde	w a b a k a d d e
omuliro	o m u l i r o
yayanjudde	y a y a n j u d d e
obukookolo	o b u k o o k o l o
okubaako	o k u b a a k o
bivujjirirwa	b i v u j j i r i r w a
biroole	b i r o o l e
agamba	a g a m b a
atuwadde	a t u w a d d e
musaala	m u s a a l a
gutuukana	g u t u u k a n a
ebiteeso	e b i t e e s o
eyambye	e y a m b y e
ngomuzira	n g o m u z i r a
ddi	d d i
abasalawo	a b a s a l a w o
omusomesa	o m u s o m e s a
ekirala	e k i r a l a
kinaana	k i n a a n a
abalala”	a b a l a l a ”
okusanga	o k u s a n g a
kufuuyira	k u f u u y i r a
ssengenge	s s e n g e n g e
yendya	y e n d y a
bano	b a n o
okukeberebwa	o k u k e b e r e b w a
mwesimbu	m w e s i m b u
okukikozesa	o k u k i k o z e s a
yayimiriza	y a y i m i r i z a
omukka	o m u k k a
atya	a t y a
boobubudamu	b o o b u b u d a m u
kitaawe	k i t a a w e
avujjirira	a v u j j i r i r a
ttulakita	t t u l a k i t a
okudda	o k u d d a
okwogeramu	o k w o g e r a m u
ma	m a
njambalirawo	n j a m b a l i r a w o
amaduuka	a m a d u u k a
yatoloka	y a t o l o k a
wamawanga	w a m a w a n g a
tusuubira	t u s u u b i r a
omuwanguzi	o m u w a n g u z i
ngessimu	n g e s s i m u
ebifo	e b i f o
mugwoze	m u g w o z e
wansi	w a n s i
yeetuze	y e e t u z e
0	0
omuzannyo	o m u z a n n y o
kumulesa	k u m u l e s a
yamulaba	y a m u l a b a
ngero	n g e r o
lukale	l u k a l e
gutuleetera	g u t u l e e t e r a
eddwaliro	e d d w a l i r o
kkubbo	k k u b b o
auto	a u t o
bakizuula	b a k i z u u l a
natuula	n a t u u l a
ebirala	e b i r a l a
okusomesebwa	o k u s o m e s e b w a
bwobwongo	b w o b w o n g o
basasulwa	b a s a s u l w a
ettaka	e t t a k a
obwo	o b w o
gamala	g a m a l a
baagenda	b a a g e n d a
bubi	b u b i
akulira	a k u l i r a
gewange	g e w a n g e
ebiri	e b i r i
bamagye	b a m a g y e
bammemba	b a m m e m b a
ttukuttuku	t t u k u t t u k u
amagatte	a m a g a t t e
byabalwadde	b y a b a l w a d d e
buteesa	b u t e e s a
ebavuga	e b a v u g a
nnabikoowa	n n a b i k o o w a
omukulembeze	o m u k u l e m b e z e
eyolukoba	e y o l u k o b a
bumenyi	b u m e n y i
nkuyege	n k u y e g e
emigaso	e m i g a s o
kutuula	k u t u u l a
akali	a k a l i
ssi	s s i
byotamanyi	b y o t a m a n y i
akazannyo	a k a z a n n y o
kaseera	k a s e e r a
yensimbi	y e n s i m b i
obumanyifu	o b u m a n y i f u
ebisolo	e b i s o l o
binyebwa	b i n y e b w a
natwalibwa	n a t w a l i b w a
ssente	s s e n t e
ababaka	a b a b a k a
abavuzi	a b a v u z i
asubwa	a s u b w a
lwokubiri	l w o k u b i r i
gyemiyembe	g y e m i y e m b e
yayita	y a y i t a
gebweru	g e b w e r u
n’amaka	n ’ a m a k a
ntadde	n t a d d e
nabuuka	n a b u u k a
gavumenti	g a v u m e n t i
lwakubayo	l w a k u b a y o
ebikozesebwa	e b i k o z e s e b w a
teekako	t e e k a k o
gwandibadde	g w a n d i b a d d e
ekikopo	e k i k o p o
tegalina	t e g a l i n a
bulijjo	b u l i j j o
birungi	b i r u n g i
wa	w a
abaazeerimira	a b a a z e e r i m i r a
pulezidenti	p u l e z i d e n t i
abavubuka	a b a v u b u k a
bimuzza	b i m u z z a
embeera	e m b e e r a
okubangula	o k u b a n g u l a
abagagga	a b a g a g g a
weddira	w e d d i r a
guno	g u n o
bateekwa	b a t e e k w a
byalimu	b y a l i m u
butuufu	b u t u u f u
zigenda	z i g e n d a
akubye	a k u b y e
obujjanjabi	o b u j j a n j a b i
pulogulaamu	p u l o g u l a a m u
bajjanjabamu	b a j j a n j a b a m u
wessomero	w e s s o m e r o
egiwera	e g i w e r a
barracks	b a r r a c k s
wamma	w a m m a
okukolagana	o k u k o l a g a n a
okuwuliriza	o k u w u l i r i z a
ffe	f f e
okuzeenyigiramu	o k u z e e n y i g i r a m u
muganda	m u g a n d a
ndwadde	n d w a d d e
nnyo	n n y o
bafunye	b a f u n y e
ogeraageranye	o g e r a a g e r a n y e
yomuntu	y o m u n t u
emboga	e m b o g a
disitulikiti	d i s i t u l i k i t i
kitegeeza	k i t e g e e z a
omwaka	o m w a k a
kyaffe	k y a f f e
bakungu	b a k u n g u
aboludda	a b o l u d d a
liba	l i b a
enjala	e n j a l a
amasomero	a m a s o m e r o
moyo	m o y o
ebitusomooza	e b i t u s o m o o z a
kwekuba	k w e k u b a
okutuusa	o k u t u u s a
oguwedde	o g u w e d d e
yalina	y a l i n a
kingi	k i n g i
kukubirizibwa	k u k u b i r i z i b w a
eziweebwa	e z i w e e b w a
beefula	b e e f u l a
bwagwo	b w a g w o
obutategeeraganagana	o b u t a t e g e e r a g a n a g a n a
mulala	m u l a l a
nolupapula	n o l u p a p u l a
okukirizza	o k u k i r i z z a
g’abantu	g ’ a b a n t u
poliisi	p o l i i s i
abayizi	a b a y i z i
buvuddeko	b u v u d d e k o
n’embiro	n ’ e m b i r o
nedda	n e d d a
bumativu	b u m a t i v u
yakukolera	y a k u k o l e r a
oyinza	o y i n z a
bannabyabufuzi	b a n n a b y a b u f u z i
oluyimba	o l u y i m b a
ekyetaagisa	e k y e t a a g i s a
so	s o
olukangaga	o l u k a n g a g a
mukaaga	m u k a a g a
ebibinja	e b i b i n j a
osobola	o s o b o l a
ziri	z i r i
yawadde	y a w a d d e
ngayagala	n g a y a g a l a
ebyennaku	e b y e n n a k u
birime	b i r i m e
yamanda	y a m a n d a
akatono	a k a t o n o
ejja	e j j a
bwomukulembeze	b w o m u k u l e m b e z e
mingi	m i n g i
pulofeesa	p u l o f e e s a
abasigadde	a b a s i g a d d e
nyingi	n y i n g i
ensimbi	e n s i m b i
ewaabwe	e w a a b w e
baazimbudde	b a a z i m b u d d e
bu	b u
paalamenti	p a a l a m e n t i
eziddukanya	e z i d d u k a n y a
eddene	e d d e n e
gumu	g u m u
abalenzi	a b a l e n z i
olwo	o l w o
ennyanja	e n n y a n j a
nkwaso	n k w a s o
pulogula	p u l o g u l a
mbaata	m b a a t a
amakumi	a m a k u m i
temulina	t e m u l i n a
za	z a
kulemera	k u l e m e r a
emyoyo	e m y o y o
okulunda	o k u l u n d a
abuuza	a b u u z a
okutulugunya	o k u t u l u g u n y a
amakanisa	a m a k a n i s a
‘ababbi	‘ a b a b b i
kirina	k i r i n a
kyokugenda	k y o k u g e n d a
okwesumulula	o k w e s u m u l u l a
emitendera	e m i t e n d e r a
okujja	o k u j j a
bafa	b a f a
kyabwe	k y a b w e
kusoboka	k u s o b o k a
kakazigizigi	k a k a z i g i z i g i
yakyusa	y a k y u s a
si	s i
okubayamba	o k u b a y a m b a
bandibadde	b a n d i b a d d e
ayagala	a y a g a l a
gyabantu	g y a b a n t u
enkulu	e n k u l u
ebitone	e b i t o n e
kulinnya	k u l i n n y a
okunyigirizibwa	o k u n y i g i r i z i b w a
zabayizi	z a b a y i z i
kampala	k a m p a l a
eddagala	e d d a g a l a
bivunaanyizibwa	b i v u n a a n y i z i b w a
bifu	b i f u
egyasooka	e g y a s o o k a
ebizibu	e b i z i b u
zitambuza	z i t a m b u z a
baayo	b a a y o
nabakozi	n a b a k o z i
obukulu	o b u k u l u
amakakali	a m a k a k a l i
lukiiko	l u k i i k o
bambega	b a m b e g a
bavuba	b a v u b a
abajulizi	a b a j u l i z i
n’ebirala	n ’ e b i r a l a
kukendeeza	k u k e n d e e z a
ebikyalemedde	e b i k y a l e m e d d e
butono	b u t o n o
basaakiriza	b a s a a k i r i z a
amagezi	a m a g e z i
kati	k a t i
bamuggyeyo	b a m u g g y e y o
zekinnansi	z e k i n n a n s i
byomujjuzo	b y o m u j j u z o
ebyenkizo	e b y e n k i z o
yalafuubana	y a l a f u u b a n a
ogusooka	o g u s o o k a
basimbye	b a s i m b y e
bbaasi	b b a a s i
nkukubira	n k u k u b i r a
ne	n e
essomero	e s s o m e r o
enkuba	e n k u b a
ennyonnyole	e n n y o n n y o l e
yabuulirira	y a b u u l i r i r a
akakira	a k a k i r a
ebirina	e b i r i n a
okweyisiza	o k w e y i s i z a
egaziye	e g a z i y e
ebivuga	e b i v u g a
kukulira	k u k u l i r a
kulabagana	k u l a b a g a n a
obulala	o b u l a l a
bingi	b i n g i
tasaanye	t a s a a n y e
nanakuwala	n a n a k u w a l a
ngumu	n g u m u
luggya	l u g g y a
omusawo	o m u s a w o
olwobutaba	o l w o b u t a b a
omulundi	o m u l u n d i
ezolukale	e z o l u k a l e
byabwe	b y a b w e
nze	n z e
mukama	m u k a m a
obutaagala	o b u t a a g a l a
sigenda	s i g e n d a
agoomunda	a g o o m u n d a
bikwatagana	b i k w a t a g a n a
ddala	d d a l a
esobola	e s o b o l a
ennyama	e n n y a m a
bazze	b a z z e
kisaganda	k i s a g a n d a
enfaanana	e n f a a n a n a
enkofu	e n k o f u
omupya	o m u p y a
okusalawo	o k u s a l a w o
musaabaze	m u s a a b a z e
ndiga	n d i g a
ezebitundu	e z e b i t u n d u
okuwulira	o k u w u l i r a
abato	a b a t o
mirembe	m i r e m b e
dda	d d a
busobola	b u s o b o l a
olaba	o l a b a
yansisinkana	y a n s i s i n k a n a
eggye	e g g y e
gukendeddeko	g u k e n d e d d e k o
gwabasawo	g w a b a s a w o
tayinza	t a y i n z a
namaterekero	n a m a t e r e k e r o
etuuse	e t u u s e
bwabwe	b w a b w e
ebyenjawulo	e b y e n j a w u l o
erimu	e r i m u
mawokota	m a w o k o t a
ssebuggwawo	s s e b u g g w a w o
byabaganda	b y a b a g a n d a
wabasumba	w a b a s u m b a
byobulimi	b y o b u l i m i
kugasa	k u g a s a
munno	m u n n o
eby’ekibiina	e b y ’ e k i b i i n a
kiri	k i r i
olwaleero	o l w a l e e r o
okulemererwa	o k u l e m e r e r w a
amakufulu	a m a k u f u l u
agambye	a g a m b y e
muwendo	m u w e n d o
ebyasibwawo	e b y a s i b w a w o
bakyetaba	b a k y e t a b a
kyalo	k y a l o
kiyamba	k i y a m b a
endya	e n d y a
nkulabe	n k u l a b e
ebikaabya	e b i k a a b y a
emisana	e m i s a n a
ennene	e n n e n e
ddagala	d d a g a l a
asimbibwa	a s i m b i b w a
yeemu	y e e m u
ebikolebwamu	e b i k o l e b w a m u
kubadde	k u b a d d e
ngobulamu	n g o b u l a m u
ngebyassente	n g e b y a s s e n t e
ssebo	s s e b o
empavu	e m p a v u
beebaza	b e e b a z a
ereme	e r e m e
eweddemu	e w e d d e m u
ssomero	s s o m e r o
ssenyonga	s s e n y o n g a
lukumi	l u k u m i
loodimmeeya	l o o d i m m e e y a
ezebyobulamu	e z e b y o b u l a m u
amagye	a m a g y e
mmeka	m m e k a
nankabirwa	n a n k a b i r w a
ebibuuzo	e b i b u u z o
ekyo	e k y o
ekwasise	e k w a s i s e
kukola	k u k o l a
bulungi	b u l u n g i
abana	a b a n a
mbwa	m b w a
bwagobereranga	b w a g o b e r e r a n g a
amalwaliro	a m a l w a l i r o
ekingi	e k i n g i
pulasitiika	p u l a s i t i i k a
luwummula	l u w u m m u l a
biyambye	b i y a m b y e
tegikozesebwa	t e g i k o z e s e b w a
mmotoka	m m o t o k a
kaali	k a a l i
ekinnumya	e k i n n u m y a
enjovu	e n j o v u
abalabe	a b a l a b e
mikono	m i k o n o
ssimu	s s i m u
ekitundu	e k i t u n d u
kulina	k u l i n a
tukyayogera	t u k y a y o g e r a
poliisi	p o l i i s i
kibeera	k i b e e r a
okumulaba	o k u m u l a b a
okubeera	o k u b e e r a
piki	p i k i
nnamugambye	n n a m u g a m b y e
eyaawakati	e y a a w a k a t i
kweraga	k w e r a g a
abasawo	a b a s a w o
enkwa	e n k w a
yaziikiddwa	y a z i i k i d d w a
mengo	m e n g o
weetaaga	w e e t a a g a
n’ebigezo	n ’ e b i g e z o
yagambye	y a g a m b y e
ekirungi	e k i r u n g i
banoonyeza	b a n o o n y e z a
namulaba	n a m u l a b a
wano	w a n o
bennono	b e n n o n o
byabantu	b y a b a n t u
abaabwe	a b a a b w e
okulaba	o k u l a b a
obwavu	o b w a v u
oluwanvu	o l u w a n v u
mbuto	m b u t o
ekulaakulana	e k u l a a k u l a n a
kiseera	k i s e e r a
ebyaweebwa	e b y a w e e b w a
oluusi	o l u u s i
gyogyagalamu	g y o g y a g a l a m u
gali	g a l i
wange	w a n g e
nafa	n a f a
teller	t e l l e r
kabuga	k a b u g a
makanika	m a k a n i k a
abebyobulamu	a b e b y o b u l a m u
